date	prec	tmax	tmin
19710906	0	33.3	25.9
19710907	0	33.7	25.9
19710908	0	33.8	24.5
19710909	0	34.5	26.3
19710910	0	34.2	26.1
19710911	0	33.1	26.3
19710912	0.5	34.1	22.9
19710913	2	34.8	26
19710914	0	34.7	26.5
19710915	25.8	35.2	24.7
19710916	0	34.1	26.2
19710917	0	31.6	25.5
19710918	0	32.6	25.5
19710919	0	32.6	25.9
19710920	0	33.3	25.8
19710921	0	33.3	26.1
19710922	0	33.1	26.5
19710923	0	32.7	26.5
19710924	73.6	28.5	23.9
19710925	0	28.8	24.5
19710926	0	32.1	25.6
19710927	22.8	32.6	23.2
19710928	0	31.1	25.7
19710929	5.6	32.6	24.1
19710930	6.4	33.3	25.3
19711001	0	34.3	25.6
19711002	0	34.8	26
19711003	0	33	25.6
19711004	0	30.6	25.9
19711005	0	33.8	26.7
19711006	0	35	25.6
19711007	14.2	34.3	23.5
19711008	7.6	31.7	23.8
19711009	10.2	33.8	24.2
19711010	0	32.5	24.4
19711011	0	32.1	25.1
19711012	0	31.6	24.8
19711013	0	33	25
19711014	30.7	33.5	22.2
19711015	0	32.4	24.3
19711016	0	32.8	26.3
19711017	7.3	32.3	24
19711018	5.1	31.5	24.3
19711019	0.4	31.2	24.9
19711020	3.6	29.8	24
19711021	8.4	31.2	18.9
19711022	1.2	30.3	24.1
19711023	77.5	28.6	22.3
19711024	149.7	25.1	22.5
19711025	70.2	24.8	22.4
19711026	25.3	25	22.2
19711027	0	29.4	22.9
19711028	0	30.6	24.2
19711029	0	30.8	22.3
19711030	0	31.1	22.1
19711031	0	32	24.1
19711101	0	33	24.8
19711102	0	31.8	23.6
19711103	0	30.3	23.9
19711104	0	30.3	23.7
19711105	0	30.1	22.9
19711106	0	30.1	21.6
19711107	0	30	20.6
19711108	0	30.4	21.2
19711109	0	30.1	21.2
19711110	0	29	20.6
19711111	0	29.4	23.1
19711112	76.4	25	20.2
19711113	51.1	25.3	22.5
19711114	11.2	27	22.5
19711115	0	28.8	20.5
19711116	0	28.4	19.7
19711117	0	28	22.9
19711118	1.4	28.4	24.3
19711119	33.4	27.9	21.6
19711120	0	28.4	22.7
19711121	0	28.6	22.1
19711122	0	28.6	23.3
19711123	4	28.6	22.5
19711124	0.6	27.6	21.3
19711125	2.4	28	22.2
19711126	10.6	28.1	21.2
19711127	1.8	27.6	21.8
19711128	3	28.1	22
19711129	0	28.2	21.1
19711130	0.3	28	20.9
19711201	0	27.7	21.3
19711202	1	27.5	22.1
19711203	4.5	26	23.3
19711204	4.8	27	23.5
19711205	0	28.4	22.8
19711206	0	27.6	20
19711207	0	27.3	22.4
19711208	2.3	25.5	22.4
19711209	0.6	25.8	23.9
19711210	0	28.2	24.1
19711211	0	26.8	23.8
19711212	0.6	26.2	22.3
19711213	0	28.2	21.7
19711214	5.2	27.8	23.5
19711215	23.9	27.6	22.8
19711216	40.1	27.4	22.7
19711217	86.7	25.4	22.4
19711218	0	27	20.4
19711219	0	27.1	20.4
19711220	0	27	20.6
19711221	0	26.5	17
19711222	0	26.4	19
19711223	0	26.8	19.5
19711224	0	26.4	20.2
19711225	0	27	19.7
19711226	0	27.7	20.4
19711227	0	27	19
19711228	0	27.2	18.7
19711229	0	26.3	18.1
19711230	0	26.9	19.4
19711231	0	27.4	21.7
19720101	0	27.7	20.5
19720102	0	27.6	18.6
19720103	0	27.3	18.2
19720104	0	28.9	18.3
19720105	0	27.6	18.1
19720106	0	28.3	17.3
19720107	0	27.4	17.5
19720108	0	26.9	17.6
19720109	0	27	20.9
19720110	0	27.6	17.6
19720111	0	26.7	16.5
19720112	0	26.5	17.4
19720113	0	27.5	19.1
19720114	0	28.8	19.7
19720115	0	28	18.6
19720116	0	27.2	17.5
19720117	0	27.3	19.3
19720118	7.3	27.3	21.3
19720119	3.8	27.8	20.9
19720120	0	27.7	23.6
19720121	0	27.5	21.4
19720122	0	27.7	20.3
19720123	0	27.9	19.4
19720124	0	27.7	18.9
19720125	0	27	20
19720126	0	27.4	20.2
19720127	0	27.5	18.1
19720128	0	27.7	19.9
19720129	0	27.6	19.8
19720130	0	27.7	20.7
19720131	0	28.4	22.4
19720201	0	28.7	20.4
19720202	0	28.3	19.6
19720203	0	29.2	19.4
19720204	0	30.6	19
19720205	0	28.8	20.2
19720206	0	30.2	21.3
19720207	0	30.8	21.4
19720208	0	29.6	20.9
19720209	0	27.8	20
19720210	0	28.8	20.9
19720211	0	29.9	21.3
19720212	0	28.8	23.1
19720213	0	28.7	19.9
19720214	0	29.1	23
19720215	0	29.8	23.3
19720216	0	31	23.3
19720217	0	30.3	23.4
19720218	0	30.1	23.4
19720219	0	29.5	24.1
19720220	0	29	23.6
19720221	0	28.8	21.7
19720222	0	28.4	19.9
19720223	0	28.4	18.8
19720224	0	29.5	19.4
19720225	0	31	20.1
19720226	0	33.1	20.1
19720227	0	34	21.4
19720228	0	32.3	21.3
19720229	0	33.3	20.3
19720301	0	30.7	19.8
19720302	0	29.6	19.4
19720303	0	30.5	20.9
19720304	0	30.8	21.1
19720305	0	29.9	20.4
19720306	0	30.8	22.9
19720307	0	31.5	22.4
19720308	0	30.6	20.9
19720309	0	30	20.2
19720310	0	31.3	19.9
19720311	0	30.5	19.4
19720312	0	31.6	20.9
19720313	0	31.6	21.3
19720314	0	31	21.5
19720315	0	30.2	21.2
19720316	0	31.3	21.5
19720317	0	30.6	21
19720318	0	30.8	22.6
19720319	0	30.8	21.4
19720320	0	31.4	21.6
19720321	0	32.3	22.7
19720322	0	32.6	22.3
19720323	0	32.6	22.5
19720324	0	31.6	21.2
19720325	0	33.3	21.7
19720326	0	32.6	22.3
19720327	0	31.7	22.1
19720328	0	31.7	22.9
19720329	0	33.6	23.2
19720330	0	32.9	25.3
19720331	0	32.3	24.9
19720401	0	34.5	25.2
19720402	0	33.6	24.6
19720403	0	33.9	25.7
19720404	0	34.3	25
19720405	0	32.7	27.2
19720406	0	34.6	26.3
19720407	0	33.8	26.5
19720408	0	32.8	25.1
19720409	0	33.9	25.2
19720410	0	35.5	25
19720411	0	33.1	25.3
19720412	0	32.5	25.3
19720413	0	32.8	26.2
19720414	0	35.1	27.4
19720415	0	35	26.9
19720416	0	34.2	25.7
19720417	0	32.9	25.8
19720418	0	33.9	25.1
19720419	0	32.9	24.6
19720420	0	32.9	25
19720421	0	33	25.8
19720422	0	32.6	25
19720423	0	32.8	24.4
19720424	0	33.8	23.4
19720425	0	33.8	25.7
19720426	0	34.3	26.4
19720427	0	34.6	25
19720428	0	33.8	24.8
19720429	0	33.3	25.4
19720430	0	34.5	26.2
19720501	0	34.8	26.7
19720502	0	34.6	26.9
19720503	0	34.5	27.4
19720504	0	34	26.9
19720505	0	32.8	26.6
19720506	0	33.5	27
19720507	0	35	26.3
19720508	0	34.3	26.9
19720509	0	36.2	27
19720510	0	34.4	27.4
19720511	3.8	33.8	26.4
19720512	20.3	32.7	24.7
19720513	8.6	31.1	25.9
19720514	0	30.9	25.2
19720515	0	31.7	26.5
19720516	0	32.5	26.5
